Date,daily_return
2020-08-28,0.0
2020-08-31,0.0
2020-09-01,0.0
2020-09-02,-8.0527535053918e-05
2020-09-03,0.00014158095771975898
2020-09-04,0.0
2020-09-07,-9.679570000147719e-05
2020-09-08,-2.296762941492603e-05
2020-09-09,-0.00010906697504948844
2020-09-10,-0.00039345495952970396
2020-09-11,0.0
2020-09-14,0.0
2020-09-15,0.0
2020-09-16,-8.994590118227078e-05
2020-09-17,-0.0002579056864983141
2020-09-18,0.0
2020-09-21,0.0
2020-09-22,0.0
2020-09-23,0.0
2020-09-24,0.0
2020-09-25,0.0
2020-09-28,0.0
2020-09-29,0.0
2020-09-30,0.0
2020-10-01,0.0
2020-10-02,0.0
2020-10-05,0.0
2020-10-06,0.0
2020-10-07,0.0
2020-10-08,0.0
2020-10-09,0.0
2020-10-12,0.0
2020-10-13,0.0
2020-10-14,0.0
2020-10-15,0.0
2020-10-16,0.0
2020-10-19,0.0
2020-10-20,0.0
2020-10-21,0.0
2020-10-22,0.0
2020-10-23,0.0
2020-10-26,0.0
2020-10-27,0.0
2020-10-28,0.0
2020-10-29,0.0
2020-10-30,0.0
2020-11-02,0.0
2020-11-03,0.0
2020-11-04,0.0
2020-11-05,0.0
2020-11-06,0.0
2020-11-09,0.0
2020-11-10,0.0
2020-11-11,0.0
2020-11-12,0.0
2020-11-13,0.0
2020-11-16,0.0
2020-11-17,0.0
2020-11-18,0.0
2020-11-19,0.0
2020-11-20,0.0
2020-11-23,-8.874151933731904e-05
2020-11-24,-0.0013685274357733
2020-11-25,0.035589886504761
2020-11-26,0.00036553805091474437
2020-11-27,-0.001030636709043433
2020-11-30,0.0
2020-12-01,0.0
2020-12-02,0.0
2020-12-03,0.0
2020-12-04,0.0
2020-12-07,0.0
2020-12-08,0.0
2020-12-09,-0.0001153953693827497
2020-12-10,-7.839139649950524e-05
2020-12-11,0.0
2020-12-14,0.0
2020-12-15,0.0
2020-12-16,0.0
2020-12-17,0.0
2020-12-18,0.0
2020-12-21,0.0
2020-12-22,0.0
2020-12-23,-3.800582265285956e-05
2020-12-24,3.313232899695554e-05
2020-12-28,-0.0005324691830594884
2020-12-29,0.0
2020-12-30,-4.833729985523049e-05
2020-12-31,-0.0003455357831043499
2021-01-04,-5.5075506684626334e-05
2021-01-05,0.0007572900375768029
2021-01-06,0.00035621792771162197
2021-01-07,0.0
2021-01-08,0.0
2021-01-11,0.0
2021-01-12,0.0
2021-01-13,-2.7362534345358152e-05
2021-01-14,6.898766146948742e-05
2021-01-15,0.00014881077140442892
2021-01-18,0.00024053990636601887
2021-01-19,-0.00016246039382120626
2021-01-20,-4.074385229424802e-05
2021-01-21,6.758273973633329e-06
2021-01-22,0.017443334763678108
2021-01-25,0.0004076645231527673
2021-01-26,-5.392562633385196e-05
2021-01-27,0.0
2021-01-28,0.0
2021-01-29,0.0
2021-02-01,0.0
2021-02-02,0.0
2021-02-03,0.0
2021-02-04,0.0
2021-02-05,0.0
2021-02-08,-8.818878328326829e-05
2021-02-09,-0.0007112110208471471
2021-02-10,-0.001032733184565996
2021-02-11,0.001108478206768889
2021-02-12,-0.0006284664723242113
2021-02-15,0.0
2021-02-16,0.0
2021-02-17,0.0
2021-02-18,0.0
2021-02-19,0.0
2021-02-22,0.0
2021-02-23,0.0
2021-02-24,0.0
2021-02-25,0.0
2021-02-26,0.0
2021-03-01,0.0
2021-03-02,0.0
2021-03-03,0.0
2021-03-04,0.0
2021-03-05,-6.60278565409087e-05
2021-03-08,0.0001904729877319577
2021-03-09,0.0
2021-03-10,-8.030309657554993e-05
2021-03-11,-0.00011301204155885673
2021-03-12,-1.0239364933394228e-05
2021-03-15,-2.6000866670713584e-05
2021-03-16,0.0
2021-03-17,0.0
2021-03-18,0.0
2021-03-19,-5.5833936118527976e-05
2021-03-22,-0.00021407937645962608
2021-03-23,-0.0005880590320096831
2021-03-24,-0.00042883965421885203
2021-03-25,0.0
2021-03-26,0.0
2021-03-29,0.0
2021-03-30,0.0
2021-03-31,0.0
2021-04-01,0.0
2021-04-05,0.0
2021-04-06,0.0
2021-04-07,0.0
2021-04-08,0.0
2021-04-09,0.0
2021-04-12,-2.9482637602668024e-05
2021-04-13,0.000396825716141282
2021-04-14,0.000210842785906642
2021-04-15,0.0004439051909400806
2021-04-16,-3.029380162333296e-05
2021-04-19,0.07307232573511907
2021-04-20,-6.653902252285924e-05
2021-04-21,-0.0013083174645599465
2021-04-22,-7.306092955128529e-05
2021-04-23,-0.000414677078948446
2021-04-26,-8.14917463657454e-05
2021-04-27,0.00029397746217357313
2021-04-28,-0.0022699047326264683
2021-04-29,0.0
2021-04-30,0.0
2021-05-03,-5.6770892289502946e-05
2021-05-04,9.417823835085937e-05
2021-05-05,-6.383643560365051e-05
2021-05-06,0.0001948730551404188
2021-05-07,0.0
2021-05-10,0.0
2021-05-11,0.0
2021-05-12,0.0
2021-05-13,0.0
2021-05-14,0.0
2021-05-17,0.0
2021-05-18,0.0
2021-05-19,0.0
2021-05-20,0.0
2021-05-21,0.0
2021-05-24,0.0
2021-05-25,0.0
2021-05-26,0.0
2021-05-27,0.0
2021-05-28,0.0
2021-05-31,0.0
2021-06-01,0.0
2021-06-02,0.0
2021-06-03,0.0
2021-06-04,0.0
2021-06-07,0.0
2021-06-08,0.0
2021-06-09,0.0
2021-06-10,0.0
2021-06-11,0.0
2021-06-14,0.0
2021-06-15,0.0
2021-06-16,0.0
2021-06-17,0.0
2021-06-18,0.0
2021-06-21,0.0
2021-06-22,0.0
2021-06-23,0.0
2021-06-24,0.0
2021-06-25,0.0
2021-06-28,0.0
2021-06-29,0.0
2021-06-30,0.0
2021-07-01,0.0
2021-07-02,0.0
2021-07-05,-2.352567063373398e-05
2021-07-06,-0.0002835668724866621
2021-07-07,-2.6505823916865236e-05
2021-07-08,-0.00025691399474112156
2021-07-09,-7.434991675563713e-05
2021-07-12,0.049356203463173966
2021-07-13,-0.001725951336824919
2021-07-14,0.0
2021-07-15,0.0
2021-07-16,0.0
2021-07-19,0.0
2021-07-20,0.0
2021-07-21,0.0
2021-07-22,0.0
2021-07-23,0.0
2021-07-26,-8.730255526914411e-05
2021-07-27,0.00029470244979651306
2021-07-28,0.0
2021-07-29,0.0
2021-07-30,0.0
2021-08-02,0.0
2021-08-03,0.0
2021-08-04,0.0
2021-08-05,0.0
2021-08-06,0.0
2021-08-09,0.0
2021-08-10,0.0
2021-08-11,0.0
2021-08-12,0.0
2021-08-13,0.0
2021-08-16,0.0
2021-08-17,0.0
2021-08-18,0.0
2021-08-19,0.0
2021-08-20,0.0
2021-08-23,-6.876575183185853e-05
2021-08-24,-0.000964751163804765
2021-08-25,0.0
2021-08-26,0.0
2021-08-27,0.0
2021-08-30,0.0
2021-08-31,0.0
2021-09-01,0.0
2021-09-02,0.0
2021-09-03,0.0
2021-09-06,-9.808101160347773e-05
2021-09-07,0.0010907380582279797
2021-09-08,0.0
2021-09-09,0.0
2021-09-10,0.0
2021-09-13,0.0
2021-09-14,0.0
2021-09-15,0.0
2021-09-16,0.0
2021-09-17,0.0
2021-09-20,-2.6747502049539924e-05
2021-09-21,0.00022764892678486828
2021-09-22,-0.00010426298607307843
2021-09-23,-3.3285882130347295e-05
2021-09-24,-0.0006028368951110904
2021-09-27,0.0
2021-09-28,0.0
2021-09-29,0.0
2021-09-30,0.0
2021-10-01,0.0
2021-10-04,-6.191914753488902e-05
2021-10-05,0.00042153798885008524
2021-10-06,0.0004227758027162812
2021-10-07,0.00040181144021993594
2021-10-08,-0.0002586223795701091
2021-10-11,0.0
2021-10-12,0.0
2021-10-13,0.0
2021-10-14,0.0
2021-10-15,0.0
2021-10-18,0.0
2021-10-19,0.0
2021-10-20,0.0
2021-10-21,0.0
2021-10-22,0.0
2021-10-25,0.0
2021-10-26,0.0
2021-10-27,0.0
2021-10-28,0.0
2021-10-29,0.0
2021-11-01,0.0
2021-11-02,0.0
2021-11-03,0.0
2021-11-04,0.0
2021-11-05,0.0
2021-11-08,0.0
2021-11-09,0.0
2021-11-10,0.0
2021-11-11,0.0
2021-11-12,0.0
2021-11-15,0.0
2021-11-16,0.0
2021-11-17,0.0
2021-11-18,0.0
2021-11-19,0.0
2021-11-22,0.0
2021-11-23,0.0
2021-11-24,0.0
2021-11-25,0.0
2021-11-26,0.0
2021-11-29,0.0
2021-11-30,0.0
2021-12-01,0.0
2021-12-02,0.0
2021-12-03,0.0
2021-12-06,0.0
2021-12-07,0.0
2021-12-08,0.0
2021-12-09,0.0
2021-12-10,0.0
2021-12-13,0.0
2021-12-14,0.0
2021-12-15,0.0
2021-12-16,0.0
2021-12-17,0.0
2021-12-20,-0.00021821709073683448
2021-12-21,0.0015026877290409055
2021-12-22,0.0
2021-12-23,0.0
2021-12-27,0.0
2021-12-28,0.0
2021-12-29,0.0
2021-12-30,0.0
2021-12-31,0.0
